gene,arabi-defline
Vigun07g023800,Protein kinase superfamily protein
Vigun07g024400,no annotation
Vigun07g027300,no annotation
Vigun07g027400,no annotation
Vigun07g027900,no annotation
Vigun07g028400,"cytochrome P450, family 93, subfamily D, polypeptide 1"
Vigun07g029700,Integrase-type DNA-binding superfamily protein
Vigun07g031800,no annotation
Vigun07g032800,Leucine-rich repeat protein kinase family protein
Vigun07g032900,no annotation
Vigun07g033700,heat shock transcription factor B3
Vigun07g034700,UDP-Glycosyltransferase superfamily protein
Vigun07g034800,UDP-Glycosyltransferase superfamily protein
Vigun07g034900,UDP-glycosyltransferase 73B4
Vigun07g035600,no annotation
Vigun07g036200,no annotation
Vigun07g037400,F-box family protein
Vigun07g037700,no annotation
Vigun07g037900,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun07g039100,no annotation
Vigun07g040000,Leucine-rich repeat receptor-like protein kinase family protein
Vigun07g040200,electron carriers
Vigun07g040600,dihydroflavonol 4-reductase
Vigun07g041900,zinc finger protein 7
Vigun07g042200,F-box family protein
Vigun07g044000,NAD(P)-binding Rossmann-fold superfamily protein
Vigun07g044900,winged-helix DNA-binding transcription factor family protein
Vigun07g045300,Subtilisin-like serine endopeptidase family protein
Vigun07g045600,mitogen-activated protein kinase kinase kinase 21
Vigun07g045800,PETG
Vigun07g045900,electron carriers
Vigun07g046500,KAR-UP oxidoreductase 1
Vigun07g046600,SU(VAR)3-9 homolog 5
Vigun07g046700,no annotation
Vigun07g046800,no annotation
Vigun07g046900,no annotation
Vigun07g047000,no annotation
Vigun07g047100,no annotation
Vigun07g047200,no annotation
Vigun07g048200,no annotation
Vigun07g048500,Plant thionin family protein
Vigun07g049600,YUCCA 3
Vigun07g050900,low-molecular-weight cysteine-rich 82
Vigun07g051000,low-molecular-weight cysteine-rich 82
Vigun07g052500,ROTUNDIFOLIA like 8
Vigun07g052800,expansin B2
Vigun07g052900,expansin B2
Vigun07g053000,F-box and associated interaction domains-containing protein
Vigun07g053200,F-box and associated interaction domains-containing protein
Vigun07g053600,no annotation
Vigun07g053700,Histone superfamily protein
Vigun07g054000,Concanavalin A-like lectin protein kinase family protein
Vigun07g054300,Granulin repeat cysteine protease family protein
Vigun07g054400,Granulin repeat cysteine protease family protein
Vigun07g054600,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Vigun07g055000,pentatricopeptide (PPR) repeat-containing protein
Vigun07g055300,phosphatidyl inositol monophosphate 5 kinase 4
Vigun07g055700,disease resistance family protein / LRR family protein
Vigun07g056200,Late embryogenesis abundant protein (LEA) family protein
Vigun07g056700,cation/hydrogen exchanger 15
Vigun07g056800,cation/hydrogen exchanger 15
Vigun07g057800,no annotation
Vigun07g058300,no annotation
Vigun07g058500,TRICHOME BIREFRINGENCE-LIKE 8
Vigun07g059700,centroradialis
Vigun07g060100,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun07g060400,peptidoglycan-binding LysM domain-containing protein
Vigun07g060600,homogentisate phytyltransferase 1
Vigun07g060700,Ribosomal protein L36
Vigun07g060800,homogentisate phytyltransferase 1
Vigun07g061000,homogentisate phytyltransferase 1
Vigun07g061100,homogentisate phytyltransferase 1
Vigun07g061200,homogentisate phytyltransferase 1
Vigun07g061300,homogentisate phytyltransferase 1
Vigun07g061400,homogentisate phytyltransferase 1
Vigun07g061500,homogentisate phytyltransferase 1
Vigun07g061600,homogentisate phytyltransferase 1
Vigun07g061700,homogentisate phytyltransferase 1
Vigun07g062400,cell wall invertase 2
Vigun07g063000,no annotation
Vigun07g064100,poly(A) binding protein 7
Vigun07g065100,homeobox 51
Vigun07g067500,no annotation
Vigun07g067600,N-acetylglucosamine-1-phosphate uridylyltransferase 2
Vigun07g067800,no annotation
Vigun07g067900,low-molecular-weight cysteine-rich 44
Vigun07g068000,low-molecular-weight cysteine-rich 43
Vigun07g068800,no annotation
Vigun07g069100,no annotation
Vigun07g070800,Phototropic-responsive NPH3 family protein
Vigun07g071200,no annotation
Vigun07g072300,DNA-binding bromodomain-containing protein
Vigun07g073300,no annotation
Vigun07g073700,SAUR-like auxin-responsive protein family 
Vigun07g074400,DNA-binding bromodomain-containing protein
Vigun07g074500,DNA-binding bromodomain-containing protein
Vigun07g074700,Ubiquitin family protein
Vigun07g075200,non-intrinsic ABC protein 12
Vigun07g077400,glutamate-ammonia ligases;catalytics;glutamate-ammonia ligases
Vigun07g077500,glutamate-ammonia ligases;catalytics;glutamate-ammonia ligases
Vigun07g077600,Uncharacterised protein family (UPF0497)
Vigun07g077700,Uncharacterised protein family (UPF0497)
Vigun07g079700,HXXXD-type acyl-transferase family protein
Vigun07g081100,Uncharacterised protein family (UPF0497)
Vigun07g081200,Uncharacterised protein family (UPF0497)
Vigun07g081300,Protein of unknown function (DUF3741)
Vigun07g081800,no annotation
Vigun07g082200,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein"
Vigun07g082600,no annotation
Vigun07g082700,Pathogenesis-related thaumatin superfamily protein
Vigun07g082800,Pathogenesis-related thaumatin superfamily protein
Vigun07g083900,Plant protein 1589 of unknown function
Vigun07g086400,no annotation
Vigun07g087500,"Nucleic acid-binding, OB-fold-like protein"
Vigun07g088100,S-protein homologue 1
Vigun07g090500,anaphase-promoting complex/cyclosome 11
Vigun07g090600,cyclophilin71
Vigun07g090700,cyclophilin71
Vigun07g090900,SART-1 family
Vigun07g091100,SART-1 family
Vigun07g091500,cyclophilin71
Vigun07g091600,cyclophilin71
Vigun07g092000,plasmodesmata-located protein 3
Vigun07g093500,carotenoid cleavage dioxygenase 8
Vigun07g093600,PAK-box/P21-Rho-binding family protein
Vigun07g094000,no annotation
Vigun07g094100,no annotation
Vigun07g094200,electron carriers
Vigun07g095100,ribosomal protein L14
Vigun07g095300,maturase K
Vigun07g095900,C2H2 and C2HC zinc fingers superfamily protein
Vigun07g096200,"Nucleic acid-binding, OB-fold-like protein"
Vigun07g096300,Transcriptional factor B3 family protein
Vigun07g096400,no annotation
Vigun07g096500,no annotation
Vigun07g097500,no annotation
Vigun07g097600,lateral organ boundaries-domain 29
Vigun07g097900,Protein of unknown function (DUF674)
Vigun07g098100,Protein of unknown function (DUF674)
Vigun07g098300,conserved peptide upstream open reading frame 7
Vigun07g098500,nodulin MtN21 /EamA-like transporter family protein
Vigun07g098700,autophagy 9 (APG9)
Vigun07g099100,ethylene response factor 1
Vigun07g099200,ethylene response factor 1
Vigun07g099300,ethylene response factor 1
Vigun07g099800,phosphate transporter 1;7
Vigun07g100100,phosphoenolpyruvate carboxylase kinase 1
Vigun07g100200,no annotation
Vigun07g100300,myb domain protein 14
Vigun07g100400,RmlC-like cupins superfamily protein
Vigun07g102000,"cytochrome P450, family 94, subfamily B, polypeptide 1"
Vigun07g102400,Cellulase (glycosyl hydrolase family 5) protein
Vigun07g102500,Cellulase (glycosyl hydrolase family 5) protein
Vigun07g102600,Cellulase (glycosyl hydrolase family 5) protein
Vigun07g102700,Cellulase (glycosyl hydrolase family 5) protein
Vigun07g103200,NOD26-like intrinsic protein 7;1
Vigun07g103300,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun07g103900,RING/U-box superfamily protein
Vigun07g104500,alpha/beta-Hydrolases superfamily protein
Vigun07g105600,no annotation
Vigun07g105700,no annotation
Vigun07g107800,no annotation
Vigun07g108800,no annotation
Vigun07g108900,no annotation
Vigun07g109100,ovate family protein 12
Vigun07g109400,no annotation
Vigun07g110700,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun07g110800,Aluminium activated malate transporter family protein
Vigun07g112300,Tetratricopeptide repeat (TPR)-like superfamily protein
Vigun07g112600,no annotation
Vigun07g113700,galacturonosyltransferase-like 4
Vigun07g115200,no annotation
Vigun07g115800,no annotation
Vigun07g116600,no annotation
Vigun07g117500,"nuclear factor Y, subunit B5"
Vigun07g117600,Glutathione S-transferase family protein
Vigun07g117700,glutathione S-transferase 6
Vigun07g119300,no annotation
Vigun07g120600,no annotation
Vigun07g121500,Plant invertase/pectin methylesterase inhibitor superfamily
Vigun07g121800,polygalacturonase 4
Vigun07g121900,Pollen Ole e 1 allergen and extensin family protein
Vigun07g123200,no annotation
Vigun07g124900,Signal transduction histidine kinase
Vigun07g125800,RGA-like 2
Vigun07g126300,Plant invertase/pectin methylesterase inhibitor superfamily protein
Vigun07g128000,no annotation
Vigun07g130500,no annotation
Vigun07g130600,Albino or Glassy Yellow 1
Vigun07g132900,expansin A17
Vigun07g134000,no annotation
Vigun07g134100,no annotation
Vigun07g135100,AGAMOUS-like 80
Vigun07g135200,no annotation
Vigun07g138800,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain
Vigun07g138900,Pectin lyase-like superfamily protein
Vigun07g139000,no annotation
Vigun07g139100,Pectin lyase-like superfamily protein
Vigun07g140600,Glycine-rich protein family
Vigun07g141100,Protein of unknown function (DUF3511)
Vigun07g143200,Plant invertase/pectin methylesterase inhibitor superfamily
Vigun07g143300,Plant invertase/pectin methylesterase inhibitor superfamily
Vigun07g143900,no annotation
Vigun07g144400,beta-amylase 6
Vigun07g145900,"nuclear factor Y, subunit B4"
Vigun07g146000,no annotation
Vigun07g148300,"nuclear factor Y, subunit C9"
Vigun07g148900,no annotation
Vigun07g149600,no annotation
Vigun07g150000,Protein of unknown function (DUF3049)
Vigun07g150100,ROP binding protein kinases 2
Vigun07g152400,no annotation
Vigun07g152500,Protein of Unknown Function (DUF239)
Vigun07g153400,no annotation
Vigun07g153500,Cytidine/deoxycytidylate deaminase family protein
Vigun07g155600,pathogenesis-related 4
Vigun07g156000,Protein of unknown function (DUF1685)
Vigun07g156100,Malectin/receptor-like protein kinase family protein
Vigun07g157900,plasmodesmata-located protein 3
Vigun07g158400,Protein of unknown function (DUF640)
Vigun07g160200,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun07g160300,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun07g160600,RmlC-like cupins superfamily protein
Vigun07g161700,no annotation
Vigun07g164700,Aluminium activated malate transporter family protein
Vigun07g166100,Plant protein of unknown function (DUF247)
Vigun07g166200,Plant protein of unknown function (DUF247)
Vigun07g167200,homeobox protein 31
Vigun07g167500,SKP1-like 14
Vigun07g169000,no annotation
Vigun07g172000,no annotation
Vigun07g173300,ROP-interactive CRIB motif-containing protein 1
Vigun07g174000,no annotation
Vigun07g174100,PLAC8 family protein
Vigun07g174800,telomerase activator1
Vigun07g176800,no annotation
Vigun07g177000,phosphoenolpyruvate carboxylase kinase 1
Vigun07g177100,phosphate transporter 1;7
Vigun07g177500,"Nucleic acid-binding, OB-fold-like protein"
Vigun07g177700,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun07g177800,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun07g177900,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun07g178000,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun07g178100,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun07g179500,AT-hook motif nuclear-localized protein 20
Vigun07g180000,no annotation
Vigun07g180100,no annotation
Vigun07g180200,Auxin efflux carrier family protein
Vigun07g180300,Protein of unknown function (DUF810)
Vigun07g182300,no annotation
Vigun07g182400,no annotation
Vigun07g182500,no annotation
Vigun07g185400,Integrase-type DNA-binding superfamily protein
Vigun07g185800,no annotation
Vigun07g186000,oleosin 1
Vigun07g187200,blue-copper-binding protein
Vigun07g188600,limit dextrinase
Vigun07g188900,C2H2-type zinc finger family protein
Vigun07g190300,no annotation
Vigun07g190800,haemoglobin 2
Vigun07g195000,C2H2-like zinc finger protein
Vigun07g196800,hydroxyproline-rich glycoprotein family protein
Vigun07g197400,no annotation
Vigun07g197500,no annotation
Vigun07g198800,Pectin lyase-like superfamily protein
Vigun07g198900,Pectin lyase-like superfamily protein
Vigun07g199000,Pectin lyase-like superfamily protein
Vigun07g199100,Pectin lyase-like superfamily protein
Vigun07g199200,Pectin lyase-like superfamily protein
Vigun07g199300,Pectin lyase-like superfamily protein
Vigun07g199400,DVL family protein
Vigun07g200600,SAUR-like auxin-responsive protein family 
Vigun07g200800,phenylalanine ammonia-lyase 2
Vigun07g201200,Phototropic-responsive NPH3 family protein
Vigun07g202900,no annotation
Vigun07g205500,O-methyltransferase 1
Vigun07g206200,GRAS family transcription factor
Vigun07g207100,GAST1 protein homolog 3
Vigun07g210100,Integrase-type DNA-binding superfamily protein
Vigun07g210200,Laccase/Diphenol oxidase family protein
Vigun07g210300,Laccase/Diphenol oxidase family protein
Vigun07g210400,"cytochrome P450, family 78, subfamily A, polypeptide 7"
Vigun07g214400,Plant invertase/pectin methylesterase inhibitor superfamily protein
Vigun07g214500,Plant invertase/pectin methylesterase inhibitor superfamily protein
Vigun07g214600,Plant invertase/pectin methylesterase inhibitor superfamily protein
Vigun07g215500,no annotation
Vigun07g218900,Concanavalin A-like lectin protein kinase family protein
Vigun07g220300,Pectin lyase-like superfamily protein
Vigun07g220400,Pectin lyase-like superfamily protein
Vigun07g220500,Pectin lyase-like superfamily protein
Vigun07g221800,Copper transport protein family
Vigun07g222300,Pectin lyase-like superfamily protein
Vigun07g225000,no annotation
Vigun07g225500,no annotation
Vigun07g226400,Concanavalin A-like lectin protein kinase family protein
Vigun07g228600,no annotation
Vigun07g231100,no annotation
Vigun07g231800,gibberellin 20 oxidase 2
Vigun07g232200,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun07g232600,3-ketoacyl-CoA synthase 6
Vigun07g236700,Protein kinase superfamily protein
Vigun07g237000,TCP family transcription factor 
Vigun07g237200,cupin family protein
Vigun07g237300,cupin family protein
Vigun07g237400,cupin family protein
Vigun07g237500,cupin family protein
Vigun07g237600,cupin family protein
Vigun07g237700,no annotation
Vigun07g237800,no annotation
Vigun07g237900,no annotation
Vigun07g238000,no annotation
Vigun07g238100,no annotation
Vigun07g238200,no annotation
Vigun07g240700,no annotation
Vigun07g240800,Copper amine oxidase family protein
Vigun07g241800,Major facilitator superfamily protein
Vigun07g242800,alpha/beta-Hydrolases superfamily protein
Vigun07g244500,Ubiquitin-like superfamily protein
Vigun07g244600,Ubiquitin-like superfamily protein
Vigun07g244700,Ubiquitin-like superfamily protein
Vigun07g245500,cysteine-rich RLK (RECEPTOR-like protein kinase) 25
Vigun07g245600,cysteine-rich RLK (RECEPTOR-like protein kinase) 25
Vigun07g246100,no annotation
Vigun07g247600,cysteine-rich RLK (RECEPTOR-like protein kinase) 29
Vigun07g247700,cysteine-rich RLK (RECEPTOR-like protein kinase) 29
Vigun07g247800,cysteine-rich RLK (RECEPTOR-like protein kinase) 26
Vigun07g247900,no annotation
Vigun07g249100,AGAMOUS-like 62
Vigun07g249200,AGAMOUS-like 62
Vigun07g249300,"cytochrome P450, family 71, subfamily A, polypeptide 22"
Vigun07g250700,Xanthine/uracil permease family protein
Vigun07g250800,Xanthine/uracil permease family protein
Vigun07g252400,ROOT HAIR DEFECTIVE 6-LIKE 2
Vigun07g253000,LOB domain-containing protein 38
Vigun07g255400,no annotation
Vigun07g257600,no annotation
Vigun07g258700,no annotation
Vigun07g260900,no annotation
Vigun07g264200,no annotation
Vigun07g267400,Protein kinase superfamily protein
Vigun07g268600,no annotation
Vigun07g268800,Bax inhibitor-1 family protein
Vigun07g269500,VQ motif-containing protein
Vigun07g269900,C2H2 and C2HC zinc fingers superfamily protein
Vigun07g273200,no annotation
Vigun07g273300,no annotation
Vigun07g276200,UDP-glucosyl transferase 73B5
Vigun07g277300,AP2/B3-like transcriptional factor family protein
Vigun07g277400,AP2/B3-like transcriptional factor family protein
Vigun07g278700,no annotation
Vigun07g279200,no annotation
Vigun07g283000,GRAM domain-containing protein / ABA-responsive protein-related
Vigun07g283900,no annotation
Vigun07g286200,Protein of unknown function (DUF674)
Vigun07g286300,Protein of unknown function (DUF674)
Vigun07g286600,AP2/B3-like transcriptional factor family protein
Vigun07g286700,AP2/B3-like transcriptional factor family protein
Vigun07g286800,Protein of unknown function (DUF674)
Vigun07g287000,Plant protein 1589 of unknown function
Vigun07g289200,no annotation
Vigun07g289300,ferritin 4
Vigun07g289400,no annotation
Vigun07g289600,no annotation
Vigun07g290100,no annotation
Vigun07g290300,no annotation
Vigun07g291500,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain
Vigun07g295100,AP2/B3 transcription factor family protein
Vigun07g295700,no annotation
Vigun08g000400,Lojap-related protein
Vigun08g000500,no annotation
Vigun08g001300,Protein kinase superfamily protein
Vigun08g004100,SGNH hydrolase-type esterase superfamily protein
Vigun08g004300,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun08g005300,no annotation
Vigun08g005600,RNA polymerase II transcription mediators
Vigun08g005800,calmodulin binding;purine nucleotide binding
Vigun08g006000,Calcium-dependent lipid-binding (CaLB domain) family protein
Vigun08g006100,no annotation
Vigun08g006300,no annotation
Vigun08g007000,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun08g009300,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Vigun08g009400,no annotation
Vigun08g009500,no annotation
Vigun08g012700,conserved peptide upstream open reading frame 5
Vigun08g013500,ADPGLC-PPase large subunit
Vigun08g013700,dihydroflavonol 4-reductase
Vigun08g013800,dihydroflavonol 4-reductase
Vigun08g016400,like COV 3
Vigun08g016500,no annotation
Vigun08g017000,"cytochrome P450, family 721, subfamily A, polypeptide 1"
Vigun08g017700,no annotation
Vigun08g021300,no annotation
Vigun08g022000,phospholipase A 2A
Vigun08g022100,phospholipase A 2A
Vigun08g022200,phospholipase A 2A
Vigun08g026000,"Nucleic acid-binding, OB-fold-like protein"
Vigun08g027400,Protein of unknown function (DUF3223)
Vigun08g028300,no annotation
Vigun08g029700,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun08g031100,exocyst subunit exo70 family protein G1
Vigun08g031200,no annotation
Vigun08g031300,no annotation
Vigun08g032100,phytosulfokine 2 precursor
Vigun08g032200,no annotation
Vigun08g033100,no annotation
Vigun08g034500,homeobox from Arabidopsis thaliana
Vigun08g039600,no annotation
Vigun08g041800,no annotation
Vigun08g041900,F-box and associated interaction domains-containing protein
Vigun08g042700,Concanavalin A-like lectin protein kinase family protein
Vigun08g042800,Concanavalin A-like lectin protein kinase family protein
Vigun08g043000,Concanavalin A-like lectin protein kinase family protein
Vigun08g044600,no annotation
Vigun08g046200,Leucine-rich repeat (LRR) family protein
Vigun08g046400,disease resistance family protein / LRR family protein
Vigun08g047800,hydroxyproline-rich glycoprotein family protein
Vigun08g047900,ribosomal protein L20
Vigun08g049400,"Beta-1,3-N-Acetylglucosaminyltransferase family protein"
Vigun08g049700,HXXXD-type acyl-transferase family protein
Vigun08g051200,PR5-like receptor kinase
Vigun08g052000,no annotation
Vigun08g052100,expansin-like B1
Vigun08g052400,Protein kinase superfamily protein
Vigun08g053200,no annotation
Vigun08g053800,TOPLESS-related 1
Vigun08g055600,carboxyesterase 17
Vigun08g056100,"cytochrome P450, family 71, subfamily B, polypeptide 34"
Vigun08g056300,no annotation
Vigun08g056400,Basic helix-loop-helix (bHLH) DNA-binding family protein
Vigun08g056600,TESMIN/TSO1-like CXC 2
Vigun08g057400,K+ transporter 1
Vigun08g057500,HCO3- transporter family
Vigun08g058000,no annotation
Vigun08g059300,no annotation
Vigun08g059400,no annotation
Vigun08g059500,Ribosomal protein L27 family protein
Vigun08g059600,Ribosomal protein L27 family protein
Vigun08g059800,Ribosomal protein L27 family protein
Vigun08g059900,no annotation
Vigun08g060300,photosystem II reaction center protein M
Vigun08g060600,ArfGap/RecO-like zinc finger domain-containing protein
Vigun08g060800,no annotation
Vigun08g061000,no annotation
Vigun08g061100,no annotation
Vigun08g061200,molybdate transporter 1
Vigun08g063200,FASCICLIN-like arabinogalactan protein 3 precursor
Vigun08g063300,no annotation
Vigun08g065300,rhamnose biosynthesis 1
Vigun08g065900,no annotation
Vigun08g067000,Plant stearoyl-acyl-carrier-protein desaturase family protein
Vigun08g067500,Protein of Unknown Function (DUF239)
Vigun08g069200,myb domain protein 69
Vigun08g069900,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Vigun08g070000,no annotation
Vigun08g070300,no annotation
Vigun08g073300,"receptor serine/threonine kinase, putative"
Vigun08g073400,"receptor serine/threonine kinase, putative"
Vigun08g073900,myb domain protein 5
Vigun08g074800,transmembrane receptors;ATP binding
Vigun08g075200,Protein of unknown function (DUF784)
Vigun08g075300,cation/hydrogen exchanger 15
Vigun08g075400,cation/hydrogen exchanger 15
Vigun08g075500,Protein of unknown function (DUF784)
Vigun08g075600,Protein of unknown function (DUF784)
Vigun08g075700,Protein of unknown function (DUF784)
Vigun08g075800,Protein of unknown function (DUF784)
Vigun08g076700,glycolipid transfer protein 2
Vigun08g077400,"Nucleic acid-binding, OB-fold-like protein"
Vigun08g078400,no annotation
Vigun08g078600,no annotation
Vigun08g078900,casein kinase I-like 3
Vigun08g079700,Calcium-binding EF hand family protein
Vigun08g080100,no annotation
Vigun08g081200,no annotation
Vigun08g082700,Major facilitator superfamily protein
Vigun08g083200,SAUR-like auxin-responsive protein family 
Vigun08g083500,"Chloroplast Ycf2;ATPase, AAA type, core"
Vigun08g084300,amino acid permease 1
Vigun08g084700,GATA transcription factor 9
Vigun08g084800,no annotation
Vigun08g085200,Leucine-rich repeat protein kinase family protein
Vigun08g085600,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Vigun08g086300,no annotation
Vigun08g087000,no annotation
Vigun08g088600,Ribosomal RNA adenine dimethylase family protein
Vigun08g089200,golgi nucleotide sugar transporter 5
Vigun08g089400,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun08g090000,nodulin MtN21 /EamA-like transporter family protein
Vigun08g090100,nodulin MtN21 /EamA-like transporter family protein
Vigun08g090200,no annotation
Vigun08g091500,no annotation
Vigun08g092100,no annotation
Vigun08g092200,no annotation
Vigun08g092800,no annotation
Vigun08g092900,no annotation
Vigun08g093100,MEI2 C-terminal RRM only like 1
Vigun08g093400,no annotation
Vigun08g093800,no annotation
Vigun08g094200,ABA-responsive element binding protein 3
Vigun08g094600,no annotation
Vigun08g094700,no annotation
Vigun08g096600,structural constituent of ribosome
Vigun08g097700,GDSL-motif lipase 7
Vigun08g098100,Pollen Ole e 1 allergen and extensin family protein
Vigun08g098700,GDSL-like Lipase/Acylhydrolase superfamily protein
Vigun08g099300,pumilio 7
Vigun08g099700,GDSL-motif lipase 7
Vigun08g100000,no annotation
Vigun08g101000,C2H2 and C2HC zinc fingers superfamily protein
Vigun08g101600,suppressor of npr1-1 constitutive 4
Vigun08g101700,Protein kinase superfamily protein
Vigun08g101800,Protein kinase superfamily protein
Vigun08g102000,Protein kinase superfamily protein
Vigun08g102100,Protein kinase superfamily protein
Vigun08g103100,Protein of unknown function (DUF1637)
Vigun08g104800,RING/U-box superfamily protein
Vigun08g107600,conserved peptide upstream open reading frame 45
Vigun08g108500,no annotation
Vigun08g109800,Golgi-body localisation protein domain ;RNA pol II promoter Fmp27 protein domain
Vigun08g110700,no annotation
Vigun08g112500,cation/H+ exchanger 3
Vigun08g114300,cation/hydrogen exchanger 15
Vigun08g114800,"Protein of unknown function, DUF599"
Vigun08g115300,nodulin MtN21 /EamA-like transporter family protein
Vigun08g115400,SEC14-like 3
Vigun08g115700,nodulin MtN21 /EamA-like transporter family protein
Vigun08g118100,no annotation
Vigun08g118200,myb domain protein 119
Vigun08g119300,Undecaprenyl pyrophosphate synthetase family protein
Vigun08g122200,Acyl-CoA N-acyltransferases (NAT) superfamily protein
Vigun08g122400,Basic-leucine zipper (bZIP) transcription factor family protein
Vigun08g124200,exocyst subunit exo70 family protein B1
Vigun08g124800,exocyst subunit exo70 family protein B1
Vigun08g127900,GRF1-interacting factor 3
Vigun08g130100,exocyst subunit exo70 family protein B1
Vigun08g131000,senescence associated gene 20
Vigun08g131300,O-methyltransferase family protein
Vigun08g131400,O-methyltransferase family protein
Vigun08g131500,O-methyltransferase family protein
Vigun08g133800,Cytochrome P450 superfamily protein
Vigun08g134300,no annotation
Vigun08g134600,expansin A8
Vigun08g134800,no annotation
Vigun08g135000,extra-large G-protein 1
Vigun08g135100,HSI2-like 1
Vigun08g135400,no annotation
Vigun08g136100,Leucine-rich repeat protein kinase family protein
Vigun08g136300,NB-ARC domain-containing disease resistance protein
Vigun08g136700,no annotation
Vigun08g136800,Leucine-rich repeat protein kinase family protein
Vigun08g137100,NB-ARC domain-containing disease resistance protein
Vigun08g137600,Protein of unknown function (DUF1191)
Vigun08g139200,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Vigun08g140400,glutathione S-transferase TAU 19
Vigun08g141300,no annotation
Vigun08g141500,no annotation
Vigun08g141900,no annotation
Vigun08g142700,PLATZ transcription factor family protein
Vigun08g144200,no annotation
Vigun08g144700,Protein of Unknown Function (DUF239)
Vigun08g144800,Protein of Unknown Function (DUF239)
Vigun08g145800,Protein of Unknown Function (DUF239)
Vigun08g145900,Protein of Unknown Function (DUF239)
Vigun08g146000,Protein of Unknown Function (DUF239)
Vigun08g146100,Protein of Unknown Function (DUF239)
Vigun08g147000,RHD SIX-LIKE 1
Vigun08g147200,NOD26-like intrinsic protein 4;2
Vigun08g148800,Calcium-dependent lipid-binding (CaLB domain) family protein
Vigun08g149700,no annotation
Vigun08g149800,no annotation
Vigun08g150100,RING-H2 finger C2A
Vigun08g150300,no annotation
Vigun08g150800,LOB domain-containing protein 33
Vigun08g151100,zinc-finger protein 10
Vigun08g152900,no annotation
Vigun08g153100,Protein of Unknown Function (DUF239)
Vigun08g153200,Protein of Unknown Function (DUF239)
Vigun08g153300,RING/U-box superfamily protein
Vigun08g153500,Subtilisin-like serine endopeptidase family protein
Vigun08g153700,Subtilisin-like serine endopeptidase family protein
Vigun08g153800,Subtilisin-like serine endopeptidase family protein
Vigun08g153900,subtilase family protein
Vigun08g154100,xylem serine peptidase 1
Vigun08g154200,Barwin-related endoglucanase
Vigun08g154600,Protein of Unknown Function (DUF239)
Vigun08g154700,Protein of Unknown Function (DUF239)
Vigun08g155700,O-fucosyltransferase family protein
Vigun08g159000,Leucine-rich repeat protein kinase family protein
Vigun08g159400,Leucine-rich repeat protein kinase family protein
Vigun08g162600,Integrase-type DNA-binding superfamily protein
Vigun08g163000,plant U-box 13
Vigun08g163600,no annotation
Vigun08g163700,no annotation
Vigun08g163800,no annotation
Vigun08g164100,no annotation
Vigun08g164200,no annotation
Vigun08g164600,no annotation
Vigun08g164900,Lateral organ boundaries (LOB) domain family protein
Vigun08g168200,no annotation
Vigun08g168300,no annotation
Vigun08g168600,embryonic flower 1 (EMF1)
Vigun08g169100,Calcium-binding EF-hand family protein
Vigun08g169200,Copper transport protein family
Vigun08g169300,no annotation
Vigun08g170000,no annotation
Vigun08g171300,Zinc finger C-x8-C-x5-C-x3-H type family protein
Vigun08g174300,KNOX/ELK homeobox transcription factor
Vigun08g178400,Clathrin adaptor complex small chain family protein
Vigun08g178600,Clathrin adaptor complex small chain family protein
Vigun08g180400,Protein kinase protein with adenine nucleotide alpha hydrolases-like domain
Vigun08g181300,Ankyrin repeat family protein
Vigun08g181400,Ankyrin repeat family protein
Vigun08g181500,Ankyrin repeat family protein
Vigun08g181600,Ankyrin repeat family protein
Vigun08g181700,no annotation
Vigun08g181800,Ankyrin repeat family protein
Vigun08g181900,Ankyrin repeat family protein
Vigun08g183800,RPM1-interacting protein 4 (RIN4) family protein
Vigun08g184900,Predicted AT-hook DNA-binding family protein
Vigun08g186900,no annotation
Vigun08g187000,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Vigun08g187100,no annotation
Vigun08g187200,no annotation
